Project	SNP_Type	Total_Num_SNPs	Num_Times_SNP_Arises	Count_SNP_Arises	relative_frequency	Num_Convergence_Events	Num_Convergence_Events_8_bin	Locus Type
Lc_1	biallelic	53846	3	3579	6.64673327638079	2	2	biallelic
Lc_1	biallelic	53846	4	1328	2.46629276083646	3	3	biallelic
Lc_1	biallelic	53846	5	513	0.952717007762879	4	4	biallelic
Lc_1	biallelic	53846	6	168	0.312000891431118	5	5	biallelic
Lc_1	biallelic	53846	7	43	0.0798573710210601	6	6	biallelic
Lc_1	biallelic	53846	8	29	0.0538572967351335	7	7	biallelic
Lc_1	biallelic	53846	9	6	0.0111428889796828	8	>7	biallelic
Lc_1	biallelic	53846	10	14	0.0260000742859265	9	>7	biallelic
Lc_1	biallelic	53846	11	6	0.0111428889796828	10	>7	biallelic
Lc_1	biallelic	53846	12	9	0.0167143334695242	11	>7	biallelic
Lc_1	biallelic	53846	13	3	0.0055714444898414	12	>7	biallelic
Lc_1	biallelic	53846	14	6	0.0111428889796828	13	>7	biallelic
Lc_1	biallelic	53846	15	1	0.00185714816328047	14	>7	biallelic
Lc_1	multiallelic	736	0	14	1.90217391304348	-1	-1	multiallelic
Lc_1	multiallelic	736	1	513	69.7010869565217	0	0	multiallelic
Lc_1	multiallelic	736	2	152	20.6521739130435	1	1	multiallelic
Lc_1	multiallelic	736	3	37	5.02717391304348	2	2	multiallelic
Lc_1	multiallelic	736	4	9	1.22282608695652	3	3	multiallelic
Lc_1	multiallelic	736	5	5	0.679347826086957	4	4	multiallelic
Lc_1	multiallelic	736	6	4	0.543478260869565	5	5	multiallelic
Lc_1	multiallelic	736	7	2	0.271739130434783	6	6	multiallelic
Ec_1	biallelic	116601	0	2678	2.29672129741597	-1	-1	biallelic
Ec_1	biallelic	116601	1	99204	85.0798878225744	0	0	biallelic
Ec_1	biallelic	116601	2	10833	9.29065788458075	1	1	biallelic
Ec_1	biallelic	116601	3	3087	2.64749015874649	2	2	biallelic
Ec_1	biallelic	116601	4	520	0.445965300469121	3	3	biallelic
Ec_1	biallelic	116601	5	141	0.120925206473358	4	4	biallelic
Ec_1	biallelic	116601	6	35	0.0300168952238832	5	5	biallelic
Ec_1	biallelic	116601	7	19	0.0162948859786794	6	6	biallelic
Ec_1	biallelic	116601	8	28	0.0240135161791065	7	7	biallelic
Ec_1	biallelic	116601	9	7	0.00600337904477663	8	>7	biallelic
Ec_1	biallelic	116601	10	6	0.0051457534669514	9	>7	biallelic
Ec_1	biallelic	116601	11	15	0.0128643836673785	10	>7	biallelic
Ec_1	biallelic	116601	12	21	0.0180101371343299	11	>7	biallelic
Ec_1	biallelic	116601	13	4	0.00343050231130093	12	>7	biallelic
Ec_1	biallelic	116601	14	3	0.0025728767334757	13	>7	biallelic
Ec_1	multiallelic	1499	0	2	0.133422281521014	-1	-1	multiallelic
Ec_1	multiallelic	1499	1	1383	92.2615076717812	0	0	multiallelic
Ec_1	multiallelic	1499	2	85	5.6704469646431	1	1	multiallelic
Ec_1	multiallelic	1499	3	14	0.933955970647098	2	2	multiallelic
Ec_1	multiallelic	1499	4	2	0.133422281521014	3	3	multiallelic
Ec_1	multiallelic	1499	5	5	0.333555703802535	4	4	multiallelic
Ec_1	multiallelic	1499	6	3	0.200133422281521	5	5	multiallelic
Ec_1	multiallelic	1499	7	1	0.066711140760507	6	6	multiallelic
Ec_1	multiallelic	1499	8	2	0.133422281521014	7	7	multiallelic
Ec_1	multiallelic	1499	10	1	0.066711140760507	9	>7	multiallelic
Ec_1	multiallelic	1499	12	1	0.066711140760507	11	>7	multiallelic
