,BM_pheno_1,WN_pheno_1
519-1016-0-RVRE,-0.0469107956375015,-0.0425388579572679
1864-6011-0-RVRE,-0.0231679045217891,-0.0574629936125623
2849-4048-0-RVRE,-0.0436205885321532,-0.074772373407415
4893-2046-0-GVRE,-0.0365633901163239,0.00468670861620235
30-1004-14-HVRE,-0.0499554989098765,-0.0263214089048473
3934-F068-1-R-TIPmvre,-0.034627908343605,-0.023270784146756
1885-F033-1-G-TIPmvre,-0.0302203657786455,-0.0331720181371698
1798-F029-1-R-TIPmvre,-0.0185134270170776,-0.0362146632388057
604-4008-14-RVRE,-0.0145541992955958,0.034364917246583
984-F014-1-G-TIPmvre,-0.0285400903575565,-0.0546702583177391
3640-F062-1-O-TIPmvre,-0.0263214089048473,-0.0859539843818499
1783-D030-1-R-TIPmvre,-0.0321704944961946,-0.00511228714999743
2063-K016-1-G-TIPmvre,-0.0340539025746709,-0.0296587547889902
3252-F045-30-G-TIPmvre,-0.0416688144288736,-0.00956421241716279
3671-J024-1-R-TIPmvre,-0.0216270658744881,-0.0436205885321532
3891-A018-1-G-TIPmvre,-0.029447145123494,-0.00523060924627793
1565-1035-0-GVRE,-0.0332998688565733,-0.069690779397291
501-4010-0-HVRE,-0.0462867047285136,-0.014808346337544
9076-6068-0-RVRE,-0.0241172281935167,-0.0454790972397906
5701-2058-0-GVRE,-0.0239433998239438,-0.0104675730358217
8517-3146-0-GVRE,-0.0425388579572679,-0.0752945300786615
1432-E039-1-G-TIPmvre,-0.0152973759789215,-0.0365633901163239
507-E016-1-F-TIPmvre,-0.00912208065234073,-0.0625963641404506
508-L001-60-G-TIPmvre,0.00313020661052681,-0.0487513510695674
514-E013-14-R-VRE-TIP,0.00556863714995293,-0.0321704944961946
681-L003-30-G-TIPmvre,-0.0170312892850967,-0.0397978744883011
513-E013-14-G-VRE-TIP,-0.014808346337544,-0.0942413825807557
682-E013-DC-G-VRE-TIP,-0.0166112165333102,-0.0152973759789215
3505-F055-14-R-TIPmvre,-0.0168203396596718,-0.0457515727271613
3901-F066-14-G-TIPmvre,-0.00410882359127319,-0.061646059084883
1519-B006-30-G-TIPmvre,-0.00112779657786249,-0.0102535250383481
3419-D045-14-G-TIPmvre,-0.00903150117447591,-0.0166112165333102
3471-F053-1-G-TIPmvre,-0.0083640438587343,-0.0746401706063257
6940-3111-0-RVRE,-0.0417015578014728,-0.00439300296617781
853-5001-0-RVRE,-0.0123775640270363,-0.0717777649265623
6842-4101-30-RVRE,-0.0184523610284046,-0.0123775640270363
3983-J022-240-G-TIPmvre,0.00235140921055822,-0.0568948765359695
4477-1075-0-RVRE,0.0111364008402383,-0.0194677601511806
1205-6006-0-RVRE,-0.00753485787331029,-0.0132214597311798
1826-4032-14-R1VRE,-0.0102535250383481,-0.0294544234485293
187-4002-30-RVRE,-0.00511228714999743,-0.0480023197397991
1325-4024-0-RVRE,-0.00523060924627793,-0.0923378644973363
2313-4043-0-RVRE,0.00665935537948469,-0.0450538339860444
4785-3083-0-GVRE,-0.00536671238811183,-0.0506752450530643
1643-4030-14-RVRE,0.000447448244767766,-0.0983751110667485
2017-4039-0-R1VRE,-0.00356288558737969,0.00665935537948469
2312-4041-14-RVRE,-0.00173164704966484,-0.0280253705944382
3963-3061-0-GVRE,-0.0030415589780942,-0.0554723798247579
1739-6010-0-RVRE,-0.0085946645522869,-0.0335515628167506
7500-6059-14-GVRE,-0.0103327642146388,-0.0350504551084436
692-2014-0-GVRE,-0.0179253083952039,-0.0239433998239438
850-2015-0-RVRE,-0.0157321375609368,-0.00753485787331029
5282-6041-14-GVRE,-0.00944768403951206,-0.000478792518274685
6241-5036-0-RVRE,-0.000478792518274685,-0.0687636264024102
2395-5005-30-G2VRE,0.00468670861620235,-0.0231679045217891
3687-D049-1-G-TIPmvre,-0.0177473196643034,-0.0495641622284766
1812-E055-1-R-TIPmvre,-0.00653606297859108,-0.0927225007459031
3407-E087-14-R-TIPmvre,-0.00439300296617781,-0.00912208065234073
3470-E088-30-R-TIPmvre,-0.0104675730358217,-0.0285400903575565
3511-E104-14-G-TIPmvre,-0.00577622260952583,-0.0499554989098765
1964-B008-1-G-TIPmvre,-0.00166963740666166,-0.0591134972630894
3828-L019-14-G-TIPmvre,-0.0194677601511806,-0.0589116015826991
6299-6052-0-GVRE,-0.0106632793833371,-0.00944768403951206
7209-6060-0-RVRE-EMPTY,-0.0100255244744826,-0.0667199702663316
8117-4125-0-RVRE,-0.00956421241716279,-0.0552922725818268
3902-H020-1-G-TIPmvre,-0.00245754925146091,0.00944250632013926
1214-J006-60-R-TIPmvre,-0.103453192707577,-0.054938143417553
3220-4053-0-RVRE,-0.0923378644973363,-0.0924107855192972
1238-K002-240-R-TIPmvre,-0.0967011178331909,-0.0562172163703531
352-K001-60-G-TIPmvre,-0.0801831813791442,-0.029447145123494
3366-F050-14-G-VRE-TIP,-0.0927225007459031,-0.0456402920180852
3367-F050-14-R-VRE-TIP,-0.0717777649265623,-0.103453192707577
3447-F050-30-G-VRE-TIP,-0.0858288833626035,-0.0085946645522869
4-K003-1-G-TIPmvre,-0.0779945975383255,-0.0185134270170776
1750-K011-150-G-TIPmvre,-0.0821225935451615,-0.035537516342795
19-K005-1-R-TIPmvre,-0.069690779397291,-0.00903150117447591
31-K009-1-G-TIPmvre,-0.0635455295822712,-0.107465930694791
3954-F065-30-G-TIPmvre,-0.0133327793478591,-0.0299496898225207
3448-F050-30-R-VRE-TIP,-0.0397978744883011,-0.0103327642146388
1551-E024-120-R-TIPmvre,-0.000907716741810929,-0.0305010283157633
579-E017-14-G-TIPmvre,0.00944250632013926,-0.0829728344784091
3618-L016-1-R-TIPmvre,0.034364917246583,-0.0801831813791442
1809-F010-300-G-TIPmvre,0.0531369138856298,-0.0491551735797751
3338-F021-360-U-TIPmvre,0.0517241530543709,-0.00577622260952583
3733-F064-1-R-TIPmvre,0.035077777874952,-0.0463010804319554
3825-C019-1-G-TIPmvre,-0.0132214597311798,-0.0616540047169015
1957-4037-0-RVRE,-0.0463010804319554,-0.0179253083952039
3401-5015-0-H1VRE,-0.0983751110667485,-0.0100255244744826
3339-E083-14-G-VRE-TIP,-0.0752945300786615,-0.0649028871013186
3535-4051-30-HVRE,-0.0942413825807557,-0.036008962558159
3889-4054-60-RVRE,-0.0859539843818499,-0.0439478933818249
6557-3102-14-GVRE,-0.0319083751856589,0.0531369138856298
1726-E049-14-O-TIPmvre,-0.0746401706063257,-0.0354922114210649
2015-F036-14-G-TIPmvre,-0.0503500249647759,-0.0588529618869694
2186-5008-0-RVRE,-0.054938143417553,-0.0635455295822712
2031-F038-1-G-TIPmvre,-0.0625963641404506,-0.0469107956375015
3016-E071-14-G-TIPmvre,-0.083896523614371,-0.0618113175318274
365-J004-14-G-TIPmvre,-0.0924107855192972,-0.0653812541647549
289-F001-1-G-TIPmvre,-0.107465930694791,-0.0858288833626035
4029-G017-1-G-TIPmvre,-0.0728508207322121,-0.0302203657786455
